deck_id,card_id,source_category,card_text
smw,smw-001,Find library materials,"Search for books, ebooks, journals, and media"
smw,smw-002,Find library materials,Search for newspapers and current news
smw,smw-003,Find library materials,Stream audio and video
smw,smw-004,Find library materials,Browse research databases
smw,smw-005,Find library materials,Find a research guide for my subject
smw,smw-006,Find library materials,Explore PEI digital collections
smw,smw-007,Find library materials,Browse archives and special collections
smw,smw-008,Find library materials,See new or discontinued library resources
smw,smw-009,Research and learning help,Ask a librarian for help
smw,smw-010,Research and learning help,Find my subject librarian / make a research appointment
smw,smw-011,Research and learning help,Learn how to use a database
smw,smw-012,Research and learning help,Find peer-reviewed articles
smw,smw-013,Research and learning help,Evaluate the quality of a source
smw,smw-014,Research and learning help,Cite sources in APA and other styles
smw,smw-015,Research and learning help,Organize references with Zotero
smw,smw-016,Research and learning help,Get easier access to library full text online
smw,smw-017,Research and learning help,Use Grammarly / other writing tools
smw,smw-018,For Faculty/Researchers,Place course readings on reserve
smw,smw-019,For Faculty/Researchers,Get copyright help for teaching
smw,smw-020,For Faculty/Researchers,Get copyright help for researching/publishing
smw,smw-021,For Faculty/Researchers,Create an open textbook with Pressbooks
smw,smw-022,For Faculty/Researchers,Plan and manage research data
smw,smw-023,For Faculty/Researchers,"Get help with a systematic, scoping, or evidence review"
smw,smw-024,For Faculty/Researchers,Get scholarly publishing or open-access support
smw,smw-025,Borrowing and access,Become a library borrower
smw,smw-026,Borrowing and access,"Borrow, renew, or return books and journals"
smw,smw-027,Borrowing and access,Find books on the shelves using call numbers
smw,smw-028,Borrowing and access,Request an item from another library
smw,smw-029,Borrowing and access,Find readings for my course / reserves
smw,smw-030,Borrowing and access,Access library resources from off campus
smw,smw-031,Borrowing and access,"Borrow laptops, equipment, and supplies"
smw,smw-032,"Printing, scanning, media technology",Print / copy / scan in the library
smw,smw-033,"Printing, scanning, media technology",View microfilm or microfiche
smw,smw-034,"Printing, scanning, media technology",Bind a document
smw,smw-035,"Printing, scanning, media technology",Use the central printing service
smw,smw-036,"Printing, scanning, media technology",Use multimedia collections and playback equipment
smw,smw-037,"Printing, scanning, media technology",Use multimedia editing equipment
smw,smw-038,"Printing, scanning, media technology","Convert VHS, vinyl, audio, or other media to digital"
smw,smw-039,Visiting the library,View library hours
smw,smw-040,Visiting the library,Find directions and parking
smw,smw-041,Visiting the library,Learn about visiting the library as a community member
smw,smw-042,Visiting the library,View library floor plans or take a virtual tour
smw,smw-043,Visiting the library,Get accessibility information or assistance
smw,smw-044,Visiting the library,Find silent study spaces
smw,smw-045,Visiting the library,Find group study spaces
smw,smw-046,Visiting the library,Connect to library Wi-Fi
smw,smw-047,Visiting the library,Find the Lost and Found
smw,smw-048,Visiting the library,Get help from the Writing Centre
smw,smw-049,Visiting the library,Get help from the ITSS Help Desk
smw,smw-050,News and contact,See library news and events
smw,smw-051,News and contact | About the Library,Find library staff and contact information
smw,smw-052,News and contact,View all library policies
smw,smw-053,About the Library,Learn about the Library Council
smw,smw-054,About the Library,Read the library strategic plan
smw,smw-055,About the Library,Learn about the library’s mission and history
smw,smw-056,About the Library,View the library’s organizational structure
smw,smw-057,About the Library,Learn about library special projects
smw,smw-058,About the Library,Read library policies
smw,smw-059,About the Library,Donate to the library
